usuario,seguidores,seguidos,tweets,retweets
poetopiaORG,632,1094,7,2
PSOEigualdad,9822,1143,0,2
CruzRojaPinto,102,125,2,0
maurospina1223,87,449,1,1
sostenible132,531,316,0,1
luisyepesb,15084,9056,1,2
valeriasosaf,577,148,0,1
neurojutsu,14,13,0,1
proyectoedem,100,96,0,3
pedroemateo,3919,4876,0,1
carmenm12319570,122,213,0,1
MRoboticaUMH,187,283,2,0
FOussidhoum,179,85,0,1
JMRuiz3,1929,3838,0,1
elenatvieira,3015,5001,0,4
RicardoBaluga,159,834,0,1
JhardiAurora,1599,1468,0,1
hurtadoj25,531,965,0,1
oikit,644,607,1,0
rauvva,51,83,0,1
ERUBENB,25,71,0,1
ElorzaJuan,13,43,0,1
mauricioromerot,181,821,0,2
oscarfc777,279,592,0,3
msolcito73,519,900,1,9
asenmac,742,453,0,2
PeriodismoUCLM,1674,268,0,1
CACTUec,158,275,0,1
marietabeun,1605,1391,0,1
Operah3Maria,1002,631,0,1
mariagemaquint1,782,677,4,6
NEsmoris,727,613,0,1
inmitacs,12874,13695,0,1
MarthaRoblesE,169,475,0,1
tertuliaglg,3371,2359,0,2
PSOE_Pelayos,791,251,0,1
fabiolapoblano,429,430,0,1
ErifeEricka,623,373,0,2
h_Juanii,178,138,0,4
lucianamermet,1146,1216,0,4
Nicoarkano,748,729,1,0
Gileprince27,68,469,0,1
